Breed,Friendliness,ExerciseNeeds,Trainability,ApartmentLiving,AffectionatewithFamily,EasyToGroom,EnergyLevel,Intelligence,SensitivityLevel,Size,TendencyToBarkOrHowl,ToleratesBeingAlone
34,4,5,4,3,5,2,4,4,4,5,3,1
35,5,5,4,1,5,4,5,5,3,3,5,2
36,5,4,4,1,5,1,5,4,4,4,4,2
37,3,5,5,1,4,5,5,5,4,3,5,2
38,4,5,4,2,5,5,5,4,5,3,4,2
39,3,4,3,1,4,4,3,4,3,5,3,2
40,5,3,4,5,5,1,3,4,5,1,4,2
41,4,5,4,2,5,3,5,5,5,3,2,1
42,4,5,4,4,5,2,4,5,3,2,1,1
43,4,2,4,5,4,4,2,4,5,5,2,1
44,5,5,3,5,4,5,4,4,5,2,3,3
45,4,4,3,3,5,2,4,4,4,4,4,2
46,4,5,3,4,5,5,5,4,4,3,3,1
47,4,5,4,1,5,1,5,4,4,3,3,3
48,4,4,3,1,5,5,4,4,4,4,2,3
49,4,4,4,3,4,1,4,4,4,4,4,3
50,5,5,4,1,5,3,5,5,5,3,3,1
51,3,4,3,5,5,3,5,4,5,1,4,1
52,5,5,4,4,5,5,4,4,5,2,1,2
53,4,3,2,5,5,5,2,2,4,2,4,3
54,4,4,3,3,5,5,2,3,4,5,4,2
55,5,5,4,5,5,5,5,5,3,1,4,1
56,3,4,3,4,4,5,4,4,4,3,3,3
57,3,4,4,1,4,5,4,5,3,4,3,1
58,4,3,3,4,5,3,3,5,4,2,2,3
59,3,4,3,1,5,5,4,3,2,4,3,2
60,3,3,3,2,4,2,2,4,2,5,3,3
61,5,4,3,5,5,4,3,4,5,2,3,1
62,3,3,3,5,5,4,2,3,4,2,3,3
63,3,5,3,1,5,5,5,4,3,3,3,2
64,4,3,3,5,5,5,3,4,5,1,3,1
65,4,2,3,5,4,2,2,3,5,2,3,1
66,2,2,3,4,2,5,2,2,2,3,5,4
67,5,3,3,4,5,2,3,5,5,4,2,1
68,1,2,2,3,2,1,2,1,2,4,1,5
69,4,3,4,5,5,1,3,3,4,3,1,2
70,5,4,3,4,5,3,3,4,4,2,2,3
71,4,3,4,5,5,1,4,4,5,2,3,1
72,5,3,3,3,5,2,3,4,5,3,4,2
73,5,3,3,5,5,2,3,4,5,1,2,1
74,4,4,4,1,5,3,5,5,3,3,3,3
75,3,3,4,5,4,3,3,4,4,1,5,3
76,4,5,3,2,5,5,5,4,4,3,2,3
77,4,3,3,4,5,2,3,3,3,1,2,2
78,3,4,3,3,5,5,3,5,5,4,1,2
79,3,4,3,1,4,4,4,3,3,4,2,2
80,3,3,3,5,5,5,2,3,4,4,2,2
81,4,4,3,3,4,3,4,4,3,3,2,2
82,5,4,4,5,5,3,5,5,5,2,4,1
83,4,5,4,1,4,5,5,3,3,3,4,4
84,5,4,4,1,5,3,4,5,4,3,4,1
85,5,5,4,1,5,2,5,5,4,3,3,1
86,4,3,3,4,5,4,3,3,4,2,3,1
87,4,5,4,1,5,5,5,4,4,3,5,3
88,5,5,4,1,5,4,5,5,4,2,2,1
89,5,5,4,4,5,4,5,5,4,3,3,2
90,5,5,4,3,5,2,5,4,3,3,5,1
91,5,5,4,1,5,4,5,5,5,3,4,1
92,4,5,4,3,4,2,5,5,3,2,3,3
93,4,4,3,5,5,5,3,3,3,2,3,1
94,3,5,4,3,5,5,5,5,4,3,3,3
95,4,5,4,3,5,5,5,5,5,4,4,2
96,4,5,5,1,5,5,5,5,4,3,3,1
97,3,5,4,2,5,4,5,5,4,4,3,2
98,3,4,4,1,5,2,5,4,4,4,4,2
99,4,4,4,4,5,5,4,4,3,1,4,3
100,5,5,3,2,5,4,5,5,3,4,1,4
101,5,4,4,2,5,2,5,5,5,3,3,1
102,5,4,3,1,5,4,4,5,4,4,3,3
103,3,4,4,2,5,2,5,5,4,3,5,1
104,5,5,3,1,5,5,5,3,5,5,4,1
105,4,5,4,1,5,4,5,4,4,5,5,3
106,5,4,3,1,5,5,5,3,4,5,4,3
